Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,-O3,10,10,2100,50,baum_welch,180936125,9397.625819608991
no_opt,-O3,10,10,2100,50,forward_vars,32183651,10283.482131968185
no_opt,-O3,10,10,2100,50,backward_vars,32822720,9718.572988466525
no_opt,-O3,10,10,2100,50,update_initial,5513788,76.17267838371733
no_opt,-O3,10,10,2100,50,update_transition,45461113,15890.504044632607
no_opt,-O3,10,10,2100,50,update_emission,37942950,8634.01501464699
no_opt,-O3,10,20,2100,50,baum_welch,165480438,12191.592096221066
no_opt,-O3,10,20,2100,50,forward_vars,23598697,14024.503132524647
no_opt,-O3,10,20,2100,50,backward_vars,22832374,13970.951947440944
no_opt,-O3,10,20,2100,50,update_initial,4519350,92.93371834445219
no_opt,-O3,10,20,2100,50,update_transition,34313734,21052.794778906893
no_opt,-O3,10,20,2100,50,update_emission,57565890,11199.340442751776
no_opt,-O3,10,30,2100,50,baum_welch,192084030,12153.899519913239
no_opt,-O3,10,30,2100,50,forward_vars,23476902,14097.260362546984
no_opt,-O3,10,30,2100,50,backward_vars,27634728,11543.084484131705
no_opt,-O3,10,30,2100,50,update_initial,4768922,88.07021796540182
no_opt,-O3,10,30,2100,50,update_transition,33357361,21656.389424810914
no_opt,-O3,10,30,2100,50,update_emission,79865953,12042.678561664443
no_opt,-O3,10,40,2100,50,baum_welch,197183082,13447.756131532624
no_opt,-O3,10,40,2100,50,forward_vars,22383827,14785.675389646283
no_opt,-O3,10,40,2100,50,backward_vars,21075976,15135.242135405733
no_opt,-O3,10,40,2100,50,update_initial,4804751,87.41347886706303
no_opt,-O3,10,40,2100,50,update_transition,30534486,23658.49551225457
no_opt,-O3,10,40,2100,50,update_emission,95484667,13393.773473598645
no_opt,-O3,10,50,2100,50,baum_welch,239224699,12409.964407563117
no_opt,-O3,10,50,2100,50,forward_vars,24904100,13289.378054215973
no_opt,-O3,10,50,2100,50,backward_vars,22505467,14173.88939318611
no_opt,-O3,10,50,2100,50,update_initial,4785368,87.76754473219196
no_opt,-O3,10,50,2100,50,update_transition,32872384,21975.893199592705
no_opt,-O3,10,50,2100,50,update_emission,131775756,12111.484300647837
no_opt,-O3,10,60,2100,50,baum_welch,263524994,12468.91215183938
no_opt,-O3,10,60,2100,50,forward_vars,22940922,14426.621562986875
no_opt,-O3,10,60,2100,50,backward_vars,22025996,14482.432485686459
no_opt,-O3,10,60,2100,50,update_initial,4934903,85.10805582196853
no_opt,-O3,10,60,2100,50,update_transition,33716995,21425.396895541846
