Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,O0,10,10,2100,50,baum_welch,139296695,12206.822279595362
no_opt,O0,10,10,2100,50,forward_vars,24120074,13721.350937812214
no_opt,O0,10,10,2100,50,backward_vars,23096281,13811.31447093149
no_opt,O0,10,10,2100,50,update_initial,4996519,84.05852154269803
no_opt,O0,10,10,2100,50,update_transition,32894159,21961.34578178454
no_opt,O0,10,10,2100,50,update_emission,29300201,11180.810670889254
no_opt,O0,10,20,2100,50,baum_welch,158315989,12743.311732082853
no_opt,O0,10,20,2100,50,forward_vars,23305521,14200.926896249177
no_opt,O0,10,20,2100,50,backward_vars,22567713,14134.795138523785
no_opt,O0,10,20,2100,50,update_initial,4824247,87.06021893157626
no_opt,O0,10,20,2100,50,update_transition,31701353,22787.67092369843
no_opt,O0,10,20,2100,50,update_emission,52016658,12394.10651872329
no_opt,O0,10,30,2100,50,baum_welch,177264778,13169.95979878191
no_opt,O0,10,30,2100,50,forward_vars,22271450,14860.280763039676
no_opt,O0,10,30,2100,50,backward_vars,21083559,15129.798531642595
no_opt,O0,10,30,2100,50,update_initial,4855682,86.49660336076374
no_opt,O0,10,30,2100,50,update_transition,30816925,23441.66395576457
no_opt,O0,10,30,2100,50,update_emission,74699004,12875.673683681245
no_opt,O0,10,40,2100,50,baum_welch,210108583,12620.474433450441
no_opt,O0,10,40,2100,50,forward_vars,23793397,13909.741429523494
no_opt,O0,10,40,2100,50,backward_vars,23453477,13600.968419309427
no_opt,O0,10,40,2100,50,update_initial,4637929,90.55766054202209
no_opt,O0,10,40,2100,50,update_transition,33037076,21866.341924448763
no_opt,O0,10,40,2100,50,update_emission,101948849,12544.526127999738
no_opt,O0,10,50,2100,50,baum_welch,219174278,13545.24822479397
no_opt,O0,10,50,2100,50,forward_vars,22452698,14740.322076215518
no_opt,O0,10,50,2100,50,backward_vars,20412034,15627.545985863046
no_opt,O0,10,50,2100,50,update_initial,4813051,87.2627362560671
no_opt,O0,10,50,2100,50,update_transition,29703327,24320.507935020207
no_opt,O0,10,50,2100,50,update_emission,118181945,13504.60089313981
no_opt,O0,10,60,2100,50,baum_welch,233274073,14085.877430536397
no_opt,O0,10,60,2100,50,forward_vars,21724466,15234.436602492324
no_opt,O0,10,60,2100,50,backward_vars,20267816,15738.745605347907
no_opt,O0,10,60,2100,50,update_initial,4428910,94.83145965937443
no_opt,O0,10,60,2100,50,update_transition,28681643,25186.841632468546
no_opt,O0,10,60,2100,50,update_emission,136165246,14049.840588544892
no_opt,O0,10,70,2100,50,baum_welch,276524221,13029.491546782081
no_opt,O0,10,70,2100,50,forward_vars,23437766,14120.799738336837
no_opt,O0,10,70,2100,50,backward_vars,21778815,14646.802408670996
no_opt,O0,10,70,2100,50,update_initial,4800727,87.48674940274671
no_opt,O0,10,70,2100,50,update_transition,31932860,22622.464758872207
no_opt,O0,10,70,2100,50,update_emission,169844281,13130.85131197323
no_opt,O0,10,80,2100,50,baum_welch,318028280,12326.167974747403
no_opt,O0,10,80,2100,50,forward_vars,23962764,13811.428431211023
no_opt,O0,10,80,2100,50,backward_vars,22569405,14133.73547065153
no_opt,O0,10,80,2100,50,update_initial,4824691,87.05220707398671
no_opt,O0,10,80,2100,50,update_transition,34474518,20954.607690236597
no_opt,O0,10,80,2100,50,update_emission,209357219,12167.242248283781
no_opt,O0,10,90,2100,50,baum_welch,320844225,13206.315307685529
no_opt,O0,10,90,2100,50,forward_vars,23358262,14168.862392244766
no_opt,O0,10,90,2100,50,backward_vars,22134225,14411.618206646042
no_opt,O0,10,90,2100,50,update_initial,4820227,87.13282590218262
no_opt,O0,10,90,2100,50,update_transition,31771872,22737.09273410141
no_opt,O0,10,90,2100,50,update_emission,215845361,13270.611824731317
no_opt,O0,10,100,2100,50,baum_welch,335129513,13589.582007359644
no_opt,O0,10,100,2100,50,forward_vars,22793685,14519.811079252871
no_opt,O0,10,100,2100,50,backward_vars,21058821,15147.571651803299
no_opt,O0,10,100,2100,50,update_initial,4663899,90.0534081033916
no_opt,O0,10,100,2100,50,update_transition,30753410,23490.078010861234
no_opt,O0,10,100,2100,50,update_emission,232382793,13690.772707082491
no_opt,O0,15,10,2100,50,baum_welch,260993876,13620.549472202942
no_opt,O0,15,10,2100,50,forward_vars,47529817,15304.919015362504
no_opt,O0,15,10,2100,50,backward_vars,50666978,14013.269155306638
no_opt,O0,15,10,2100,50,update_initial,5181576,121.58462985006878
no_opt,O0,15,10,2100,50,update_transition,83060412,19568.889208014043
no_opt,O0,15,10,2100,50,update_emission,50041571,9819.835592291856
no_opt,O0,15,20,2100,50,baum_welch,263541853,15293.699858746913
no_opt,O0,15,20,2100,50,forward_vars,44430601,16372.499665264488
no_opt,O0,15,20,2100,50,backward_vars,42729047,16616.565307435947
no_opt,O0,15,20,2100,50,update_initial,5023780,125.40358057080525
no_opt,O0,15,20,2100,50,update_transition,67461615,24093.701284797287
no_opt,O0,15,20,2100,50,update_emission,78974712,12245.058899360089
no_opt,O0,15,30,2100,50,baum_welch,359654369,12529.195773512207
no_opt,O0,15,30,2100,50,forward_vars,51460508,14135.888437012709
no_opt,O0,15,30,2100,50,backward_vars,49646634,14301.271663251127
no_opt,O0,15,30,2100,50,update_initial,5508486,114.3689935855333
no_opt,O0,15,30,2100,50,update_transition,82342887,19739.409914058513
no_opt,O0,15,30,2100,50,update_emission,143368621,10062.871428469693
no_opt,O0,15,40,2100,50,baum_welch,323281941,15410.171024678424
no_opt,O0,15,40,2100,50,forward_vars,42957781,16933.835572186563
no_opt,O0,15,40,2100,50,backward_vars,42346574,16766.645632300737
no_opt,O0,15,40,2100,50,update_initial,5345204,117.8626671685496
no_opt,O0,15,40,2100,50,update_transition,63606471,25554.00377423863
no_opt,O0,15,40,2100,50,update_emission,143072563,13408.23117846851
no_opt,O0,15,50,2100,50,baum_welch,347405994,15709.228091211346
no_opt,O0,15,50,2100,50,forward_vars,41805768,17400.46971508812
no_opt,O0,15,50,2100,50,backward_vars,41800061,16985.86037948605
no_opt,O0,15,50,2100,50,update_initial,4854875,129.76647184531012
no_opt,O0,15,50,2100,50,update_transition,61720503,26334.846947050966
no_opt,O0,15,50,2100,50,update_emission,173005362,13837.72139964078
no_opt,O0,15,60,2100,50,baum_welch,388559706,15269.54521630197
no_opt,O0,15,60,2100,50,forward_vars,43045664,16899.263070956462
no_opt,O0,15,60,2100,50,backward_vars,43035842,16498.108715986084
no_opt,O0,15,60,2100,50,update_initial,4873004,129.2837026195751
no_opt,O0,15,60,2100,50,update_transition,63400950,25636.839826532567
no_opt,O0,15,60,2100,50,update_emission,209808336,13677.483243563784
no_opt,O0,15,70,2100,50,baum_welch,448421794,14291.85665315812
no_opt,O0,15,70,2100,50,forward_vars,47078773,15451.549682486415
no_opt,O0,15,70,2100,50,backward_vars,45816432,15496.841831769003
no_opt,O0,15,70,2100,50,update_initial,5309005,118.66630376125093
no_opt,O0,15,70,2100,50,update_transition,68880689,23597.324933843214
no_opt,O0,15,70,2100,50,update_emission,254555621,13141.725124192013
no_opt,O0,15,80,2100,50,baum_welch,458089193,15028.579816332842
no_opt,O0,15,80,2100,50,forward_vars,42328437,17185.609759226405
no_opt,O0,15,80,2100,50,backward_vars,41843529,16968.215085300286
no_opt,O0,15,80,2100,50,update_initial,4871492,129.32382933195825
no_opt,O0,15,80,2100,50,update_transition,61287689,26520.823782407588
no_opt,O0,15,80,2100,50,update_emission,283403012,13482.39022950116
no_opt,O0,15,90,2100,50,baum_welch,478357467,15386.15054168267
no_opt,O0,15,90,2100,50,forward_vars,42209864,17233.8863730999
no_opt,O0,15,90,2100,50,backward_vars,41114881,17268.929952636856
no_opt,O0,15,90,2100,50,update_initial,4856096,129.73384381198395
no_opt,O0,15,90,2100,50,update_transition,60314638,26948.682009829852
no_opt,O0,15,90,2100,50,update_emission,305749204,14052.693985100284
no_opt,O0,15,100,2100,50,baum_welch,526970670,14869.385425188844
no_opt,O0,15,100,2100,50,forward_vars,42255578,17215.24197349756
no_opt,O0,15,100,2100,50,backward_vars,41205174,17231.088503594234
no_opt,O0,15,100,2100,50,update_initial,4898104,128.62119709993908
no_opt,O0,15,100,2100,50,update_transition,61873869,26269.57108500844
no_opt,O0,15,100,2100,50,update_emission,353839922,13487.031008332633
no_opt,O0,20,10,2100,50,baum_welch,401899092,15126.408894698374
no_opt,O0,20,10,2100,50,forward_vars,80433738,15892.211797989545
no_opt,O0,20,10,2100,50,backward_vars,84332829,14886.017875672118
