Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,-ftree-no-vectorize,0,0,0,100,baum_welch,9548,0.8466679130101314
no_opt,-ftree-no-vectorize,0,0,0,100,forward_vars,9085,0.9164604766683088
no_opt,-ftree-no-vectorize,0,0,0,100,backward_vars,9160,0.5787299597868186
no_opt,-ftree-no-vectorize,0,0,0,100,update_initial,9869,0.4565179772875676
no_opt,-ftree-no-vectorize,0,0,0,100,update_transition,9786,0.1585507202049795
no_opt,-ftree-no-vectorize,0,0,0,100,update_emission,9979,0.19394785655902358
no_opt,-ftree-no-vectorize,0,0,1,100,baum_welch,9608,0.7279878937916829
no_opt,-ftree-no-vectorize,0,0,1,100,forward_vars,9211,0.037399861122432765
no_opt,-ftree-no-vectorize,0,0,1,100,backward_vars,9490,0.14036337456461057
no_opt,-ftree-no-vectorize,0,0,1,100,update_initial,9061,0.9454208016314292
no_opt,-ftree-no-vectorize,0,0,1,100,update_transition,9489,0.6592719207168274
no_opt,-ftree-no-vectorize,0,0,1,100,update_emission,9031,0.5968491856796173
no_opt,-ftree-no-vectorize,0,2,0,100,baum_welch,9697,0.2804446276657916
no_opt,-ftree-no-vectorize,0,2,0,100,forward_vars,9753,0.649725051373161
no_opt,-ftree-no-vectorize,0,2,0,100,backward_vars,9841,0.08502895170113822
no_opt,-ftree-no-vectorize,0,2,0,100,update_initial,9661,0.5860541418432093
no_opt,-ftree-no-vectorize,0,2,0,100,update_transition,9313,0.18297459628241486
no_opt,-ftree-no-vectorize,0,2,0,100,update_emission,9190,0.24102503607108094
no_opt,-ftree-no-vectorize,0,2,1,100,baum_welch,9528,0.6938630121189305
no_opt,-ftree-no-vectorize,0,2,1,100,forward_vars,9705,0.6290904640767656
no_opt,-ftree-no-vectorize,0,2,1,100,backward_vars,9040,0.0606685200903706
no_opt,-ftree-no-vectorize,0,2,1,100,update_initial,9634,0.6350000316465538
no_opt,-ftree-no-vectorize,0,2,1,100,update_transition,9284,0.5101785302694898
no_opt,-ftree-no-vectorize,0,2,1,100,update_emission,9667,0.7399498719995563
no_opt,-ftree-no-vectorize,0,4,0,100,baum_welch,9234,0.983796614607598
no_opt,-ftree-no-vectorize,0,4,0,100,forward_vars,9645,0.8854046329045939
no_opt,-ftree-no-vectorize,0,4,0,100,backward_vars,9975,0.3544043785393278
no_opt,-ftree-no-vectorize,0,4,0,100,update_initial,9410,0.5274426208763545
no_opt,-ftree-no-vectorize,0,4,0,100,update_transition,9360,0.25924039823567036
no_opt,-ftree-no-vectorize,0,4,0,100,update_emission,9010,0.9368901601546575
no_opt,-ftree-no-vectorize,0,4,1,100,baum_welch,9763,0.04469291239252926
no_opt,-ftree-no-vectorize,0,4,1,100,forward_vars,9563,0.6965532671275282
no_opt,-ftree-no-vectorize,0,4,1,100,backward_vars,9704,0.40370887178590686
no_opt,-ftree-no-vectorize,0,4,1,100,update_initial,9320,0.03547989345653435
no_opt,-ftree-no-vectorize,0,4,1,100,update_transition,9879,0.3996845260006938
no_opt,-ftree-no-vectorize,0,4,1,100,update_emission,9465,0.5243561984532676
no_opt,-ftree-no-vectorize,0,6,0,100,baum_welch,9671,0.12625575685912016
no_opt,-ftree-no-vectorize,0,6,0,100,forward_vars,9932,0.5826159666591447
no_opt,-ftree-no-vectorize,0,6,0,100,backward_vars,9865,0.7565220039882065
no_opt,-ftree-no-vectorize,0,6,0,100,update_initial,9656,0.27309806422131055
no_opt,-ftree-no-vectorize,0,6,0,100,update_transition,9214,0.669487438669827
