Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Flops,Operational Intensity,Variable
no_opt,g++,O3 march=native,2,256,4096,50,baum_welch,585839550,0.5615573888789175,1932,10513,0.1837724721773043,328982528,2660.6376811594205,0
no_opt,g++,O3 march=native,2,256,4096,50,forward_vars,16644352,0.20671516680252858,298,1802,0.16537180910099888,3440640,180.40268456375838,0
no_opt,g++,O3 march=native,2,256,4096,50,backward_vars,11873420,0.2366509396618666,148,538,0.275092936802974,2809856,296.64864864864865,0
no_opt,g++,O3 march=native,2,256,4096,50,update_initial,5996474,0.0027322723320404624,87,599,0.14524207011686144,16384,2.942528735632184,0
no_opt,g++,O3 march=native,2,256,4096,50,update_transition,11612407,0.48535122821651017,113,363,0.31129476584022037,5636096,779.3274336283185,0
no_opt,g++,O3 march=native,2,256,4096,50,update_emission,509169542,0.6227386476310478,573,3224,0.17772952853598015,317079552,8646.366492146597,0
no_opt,g++,O3 march=native,4,256,4096,50,baum_welch,1272070788,0.5334871914376513,1626,7742,0.21002324980625162,678633472,6521.30873308733,0
no_opt,g++,O3 march=native,4,256,4096,50,forward_vars,22585559,0.5088816265295891,300,1578,0.19011406844106463,11493376,598.6133333333333,0
no_opt,g++,O3 march=native,4,256,4096,50,backward_vars,21205022,0.4921762401378315,69,534,0.12921348314606743,10436608,2363.3623188405795,0
no_opt,g++,O3 march=native,4,256,4096,50,update_initial,5913683,0.0,37,128,0.2890625,0,0.0,0
no_opt,g++,O3 march=native,4,256,4096,50,update_transition,27058263,0.8331792768811509,45,255,0.17647058823529413,22544384,7827.9111111111115,0
no_opt,g++,O3 march=native,4,256,4096,50,update_emission,1164861597,0.5444072545899202,549,2508,0.21889952153110048,634159104,18048.69945355191,0
no_opt,g++,O3 march=native,8,256,4096,50,baum_welch,2214307563,0.6506260033940913,4506,21805,0.20664985095161661,1440686080,4995.721260541501,0
no_opt,g++,O3 march=native,8,256,4096,50,forward_vars,55536778,0.757147560846976,699,3384,0.20656028368794327,42049536,939.9484978540772,0
no_opt,g++,O3 march=native,8,256,4096,50,backward_vars,52488736,0.7647507457600046,196,1410,0.13900709219858157,40140800,3200.0,0
no_opt,g++,O3 march=native,8,256,4096,50,update_initial,6044367,0.0,141,329,0.42857142857142855,0,0.0,0
no_opt,g++,O3 march=native,8,256,4096,50,update_transition,87470949,1.0309426961859074,168,1163,0.14445399828030955,90177536,8387.047619047618,0
no_opt,g++,O3 march=native,8,256,4096,50,update_emission,1980608640,0.640367906301772,1631,8739,0.1866346263874585,1268318208,12150.5039852851,0
no_opt,g++,O3 march=native,16,256,4096,50,baum_welch,4621547632,0.695797892838855,8818,2279113,0.0038690490554878147,3215663104,5697.97414379678,0
no_opt,g++,O3 march=native,16,256,4096,50,forward_vars,178308348,0.902731755441983,2023,597176,0.003387611022546117,160964608,1243.2387543252596,0
no_opt,g++,O3 march=native,16,256,4096,50,backward_vars,167678614,0.9384138635592492,797,363788,0.0021908364212123543,157351936,3084.8481806775408,0
no_opt,g++,O3 march=native,16,256,4096,50,update_initial,6499531,0.0,126,74499,0.001691297869770064,0,0.0,0
no_opt,g++,O3 march=native,16,256,4096,50,update_transition,326931609,1.1033198811926441,552,501059,0.0011016666699929548,360710144,10210.31884057971,0
no_opt,g++,O3 march=native,16,256,4096,50,update_emission,3909692661,0.6488071150204408,2705,695108,0.0038914816114905887,2536636416,14652.474676524953,0
no_opt,g++,O3 march=native,32,256,4096,50,baum_welch,10570451313,0.7349832238899032,12388,2075852,0.0059676701421874,7769104384,9799.181143041653,0
no_opt,g++,O3 march=native,32,256,4096,50,forward_vars,730281249,0.8626892185205209,3048,415361,0.007338194967750945,630005760,3229.6062992125985,0
no_opt,g++,O3 march=native,32,256,4096,50,backward_vars,721313451,0.8636816839285588,1433,461146,0.0031074757235235693,622985216,6792.842986741102,0
no_opt,g++,O3 march=native,32,256,4096,50,update_initial,6469867,0.0,147,19252,0.007635570330355288,0,0.0,0
no_opt,g++,O3 march=native,32,256,4096,50,update_transition,1281916256,1.1255341909011567,1488,339897,0.004377796803149189,1442840576,15150.79569892473,0
no_opt,g++,O3 march=native,32,256,4096,50,update_emission,7794200923,0.6509035220056002,3529,677907,0.005205728809408961,5073272832,22462.42221592519,0
no_opt,g++,O3 march=native,64,256,4096,50,baum_welch,27925084591,0.748070638924139,53612,1180414064,4.5417961065567246e-05,20889935872,6088.2870999030065,0
no_opt,g++,O3 march=native,64,256,4096,50,forward_vars,3426820224,0.7274767665197485,13820,54624329,0.0002530008194700204,2492932096,2818.528509406657,0
no_opt,g++,O3 march=native,64,256,4096,50,backward_vars,3613902800,0.685988513028076,6633,607406709,1.0920195483056477e-05,2479095808,5839.872154379617,0
no_opt,g++,O3 march=native,64,256,4096,50,update_initial,7736790,0.0,709,542067,0.0013079563965340078,0,0.0,0
no_opt,g++,O3 march=native,64,256,4096,50,update_transition,5290974644,1.0907937936434382,6220,375596195,1.656033815784529e-05,5771362304,14497.9961414791,0
no_opt,g++,O3 march=native,64,256,4096,50,update_emission,15546835505,0.6526437911262895,21336,141594541,0.0001506837753017611,10146545664,7430.623172103487,0
no_opt,g++,O3 march=native,128,256,4096,50,baum_welch,85744736965,0.7369244666969164,54940,8224556848,6.679995167564559e-06,63187394560,17970.568620313068,0
no_opt,g++,O3 march=native,128,256,4096,50,forward_vars,15146573986,0.6548121644648731,20851,1588404582,1.3127008217104224e-05,9918160896,7432.318066279795,0
no_opt,g++,O3 march=native,128,256,4096,50,backward_vars,16270114246,0.6079055727854906,6631,3442480459,1.9262273465239155e-06,9890693120,23305.999095159103,0
no_opt,g++,O3 march=native,128,256,4096,50,update_initial,11989398,0.0,924,2110673,0.00043777506037173924,0,0.0,0
no_opt,g++,O3 march=native,128,256,4096,50,update_transition,23177892654,0.9960115684639671,7110,2553406103,2.7845159419202656e-06,23085449216,50732.79099859353,0
no_opt,g++,O3 march=native,128,256,4096,50,update_emission,31088979732,0.6527422740448522,11997,635897550,1.886624661472591e-05,20293091328,26429.903475868967,0
no_opt,g++,O3 march=native,256,256,4096,50,baum_welch,358679939783,0.5910715132612727,540273,82643607150,6.537384059475918e-06,212005494784,6131.318529706278,0
no_opt,g++,O3 march=native,256,256,4096,50,forward_vars,94281438793,0.41965972851633676,161949,30487157747,5.3120399528203355e-06,39566123008,3817.378755040167,0
no_opt,g++,O3 march=native,256,256,4096,50,backward_vars,99197922011,0.3983086687200827,169694,32886563958,5.159979626230309e-06,39511392256,3638.1103869317712,0
no_opt,g++,O3 march=native,256,256,4096,50,update_initial,19797117,0.0,10294,5287560,0.0019468337002322433,0,0.0,0
no_opt,g++,O3 march=native,256,256,4096,50,update_transition,102874218706,0.8976184512069036,138051,16274454009,8.482680888935252e-06,92341796864,10451.503980413036,0
no_opt,g++,O3 march=native,256,256,4096,50,update_emission,62253507282,0.6519501378797834,41632,2987096034,1.3937282071326937e-05,40586182656,15232.491929285165,0
no_opt,g++,O3 march=native,512,256,4096,50,baum_welch,1406781324484,0.544885273413166,142902180,348586508111,0.00040994753576204337,766534426624,83.81327993736694,0
no_opt,g++,O3 march=native,512,256,4096,50,forward_vars,363526318945,0.4347747523169364,28653607,88059148579,0.0003253904615520346,158052065280,86.18682876469968,0
no_opt,g++,O3 march=native,512,256,4096,50,backward_vars,503710274281,0.313558838563396,74910855,176914943251,0.00042342864668994866,157942808576,32.94390891680518,0
