Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Flops,Operational Intensity,Variable
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,baum_welch,122633900,0.9932559267869651,14862,99668,0.14911506200585944,121806848,128.06028798277487,0
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,forward_vars,26379304,1.4126759371664999,1704,16931,0.10064378949855295,37265408,341.7089201877934,0
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,backward_vars,16795939,2.1031217129331083,1001,7802,0.12830043578569597,35323904,551.3846153846154,0
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,update_initial,6186402,0.0,245,1899,0.129015271195366,0,0.0,0
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,update_transition,15847619,2.5763446231260354,2542,17410,0.1460080413555428,40828928,250.9645948072384,0
opt_avx_tp_mem,g++,O3 march=native,8,256,4096,50,update_emission,22725338,0.36913017531356407,6050,28142,0.21498116693909458,8388608,21.664793388429754,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,baum_welch,188885591,2.203594915823939,20953,269636,0.07770846622854514,416227328,310.3876294564024,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,forward_vars,43381924,2.8598971313489923,2769,45897,0.06033074057127917,124067840,700.093896713615,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,backward_vars,29990917,4.2829820775403435,1586,15276,0.10382299031159989,128450560,1265.4728877679697,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,update_initial,5979066,0.0,195,1282,0.15210608424336974,0,0.0,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,update_transition,34691184,4.23541935034561,4525,60788,0.07443903401987234,146931712,507.3608839779005,0
opt_avx_tp_mem,g++,O3 march=native,16,256,4096,50,update_emission,40138566,0.41798244610931046,8111,125598,0.06457905380658928,16777216,32.319566021452346,0
opt_avx_tp_mem,g++,O3 march=native,32,256,4096,50,baum_welch,465360458,3.284419115815809,101985,7361096,0.013854594478865646,1528438784,234.1702799431289,0
