Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,O1,2,256,4096,50,baum_welch,1803015682,0.17930063239461053,0
no_opt,g++,O1,2,256,4096,50,forward_vars,65320505,0.05159173218271965,0
no_opt,g++,O1,2,256,4096,50,backward_vars,54165513,0.0513677955934803,0
no_opt,g++,O1,2,256,4096,50,update_initial,42206834,0.00038818358183416457,0
no_opt,g++,O1,2,256,4096,50,update_transition,65322101,0.08442161099502908,0
no_opt,g++,O1,2,256,4096,50,update_emission,1359966858,0.22912213497485098,0
no_opt,g++,O1,4,256,4096,50,baum_welch,1523801903,0.44528725857615625,0
no_opt,g++,O1,4,256,4096,50,forward_vars,75215703,0.15278285705845226,0
no_opt,g++,O1,4,256,4096,50,backward_vars,68060594,0.15329974933806778,0
no_opt,g++,O1,4,256,4096,50,update_initial,43567332,0.0007521231733905578,0
no_opt,g++,O1,4,256,4096,50,update_transition,67357089,0.3346391943986772,0
no_opt,g++,O1,4,256,4096,50,update_emission,1044224245,0.6071791026074098,0
no_opt,g++,O1,8,256,4096,50,baum_welch,2955746621,0.4869808804900263,0
no_opt,g++,O1,8,256,4096,50,forward_vars,153450322,0.27398848990359237,0
no_opt,g++,O1,8,256,4096,50,backward_vars,135406705,0.2964213108944642,0
no_opt,g++,O1,8,256,4096,50,update_initial,45397394,0.0014436070933939512,0
no_opt,g++,O1,8,256,4096,50,update_transition,140697431,0.6408847436596052,0
no_opt,g++,O1,8,256,4096,50,update_emission,2245588146,0.5642061596454473,0
no_opt,g++,O1,16,256,4096,50,baum_welch,5556774143,0.5786975439789798,0
no_opt,g++,O1,16,256,4096,50,forward_vars,459296394,0.3504529495609321,0
no_opt,g++,O1,16,256,4096,50,backward_vars,418321429,0.3761439603420364,0
no_opt,g++,O1,16,256,4096,50,update_initial,43949160,0.002982218545246371,0
no_opt,g++,O1,16,256,4096,50,update_transition,426937595,0.8448593078339705,0
no_opt,g++,O1,16,256,4096,50,update_emission,3971774085,0.6386434305464783,0
no_opt,g++,O1,32,256,4096,50,baum_welch,12220604645,0.6357497802842962,0
no_opt,g++,O1,32,256,4096,50,forward_vars,1613961663,0.3903426075368929,0
no_opt,g++,O1,32,256,4096,50,backward_vars,1559828916,0.3993879928816501,0
no_opt,g++,O1,32,256,4096,50,update_initial,43653243,0.006005052133240135,0
no_opt,g++,O1,32,256,4096,50,update_transition,1403238978,1.0282058948051827,0
no_opt,g++,O1,32,256,4096,50,update_emission,7355743636,0.6896911170437099,0
no_opt,g++,O1,64,256,4096,50,baum_welch,36030608136,0.5797912457138772,0
no_opt,g++,O1,64,256,4096,50,forward_vars,7397292532,0.33700201934909774,0
no_opt,g++,O1,64,256,4096,50,backward_vars,7055459422,0.3513686941873535,0
no_opt,g++,O1,64,256,4096,50,update_initial,49654131,0.010558638112103905,0
no_opt,g++,O1,64,256,4096,50,update_transition,6129466300,0.9415655356486746,0
no_opt,g++,O1,64,256,4096,50,update_emission,15098372390,0.6720222768329799,0
no_opt,g++,O1,128,256,4096,50,baum_welch,124632915525,0.5069904874553403,0
no_opt,g++,O1,128,256,4096,50,forward_vars,31130459269,0.31859582880861864,0
