Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,Ofast,2,256,4096,50,baum_welch,1099070886,0.02420173652020476,0
no_opt,g++,Ofast,2,256,4096,50,forward_vars,67757666,0.05077860857840056,0
no_opt,g++,Ofast,2,256,4096,50,backward_vars,61851750,0.04542888438888148,0
no_opt,g++,Ofast,2,256,4096,50,update_initial,54498908,0.00030062987684083503,0
no_opt,g++,Ofast,2,256,4096,50,update_transition,63325488,0.08900201448112015,0
no_opt,g++,Ofast,2,256,4096,50,update_emission,576671229,0.025484968316322923,0
no_opt,g++,Ofast,4,256,4096,50,baum_welch,1674860842,0.04410596877516586,0
no_opt,g++,Ofast,4,256,4096,50,forward_vars,84184730,0.13652566207672104,0
no_opt,g++,Ofast,4,256,4096,50,backward_vars,96253235,0.10842864658003443,0
no_opt,g++,Ofast,4,256,4096,50,update_initial,52208637,7.84544518946166e-05,0
no_opt,g++,Ofast,4,256,4096,50,update_transition,83228541,0.27087323325780754,0
no_opt,g++,Ofast,4,256,4096,50,update_emission,1069834037,0.0274742576731086,0
no_opt,g++,Ofast,8,256,4096,50,baum_welch,3186313714,0.07254708128215401,0
no_opt,g++,Ofast,8,256,4096,50,forward_vars,262774811,0.16002118254782038,0
no_opt,g++,Ofast,8,256,4096,50,backward_vars,147195973,0.2727031126048537,0
no_opt,g++,Ofast,8,256,4096,50,update_initial,70568319,5.8043043366244846e-05,0
no_opt,g++,Ofast,8,256,4096,50,update_transition,169068242,0.5333795095592229,0
no_opt,g++,Ofast,8,256,4096,50,update_emission,2166599447,0.02713274577882785,0
no_opt,g++,Ofast,16,256,4096,50,baum_welch,5221583048,0.1525595515147689,0
no_opt,g++,Ofast,16,256,4096,50,forward_vars,324616530,0.4958607868798302,0
no_opt,g++,Ofast,16,256,4096,50,backward_vars,315789005,0.498281870200009,0
no_opt,g++,Ofast,16,256,4096,50,update_initial,49411985,8.28948685222826e-05,0
no_opt,g++,Ofast,16,256,4096,50,update_transition,494986981,0.7287265278599317,0
no_opt,g++,Ofast,16,256,4096,50,update_emission,3765166892,0.031226128183005387,0
no_opt,g++,Ofast,32,256,4096,50,baum_welch,11696428376,0.2505875060128697,0
no_opt,g++,Ofast,32,256,4096,50,forward_vars,1025134816,0.6145589342660663,0
no_opt,g++,Ofast,32,256,4096,50,backward_vars,1134004975,0.5493672688693452,0
no_opt,g++,Ofast,32,256,4096,50,update_initial,49928754,8.203689601386808e-05,0
no_opt,g++,Ofast,32,256,4096,50,update_transition,1766867543,0.8166093614183279,0
no_opt,g++,Ofast,32,256,4096,50,update_emission,7424464908,0.031671395974493574,0
no_opt,g++,Ofast,64,256,4096,50,baum_welch,29267008619,0.3831508982001028,0
no_opt,g++,Ofast,64,256,4096,50,forward_vars,4106106648,0.6071279461809049,0
no_opt,g++,Ofast,64,256,4096,50,backward_vars,3980493000,0.6228112467475763,0
no_opt,g++,Ofast,64,256,4096,50,update_initial,50820764,8.05969780383467e-05,0
no_opt,g++,Ofast,64,256,4096,50,update_transition,6643874755,0.8686741572990414,0
no_opt,g++,Ofast,64,256,4096,50,update_emission,14163501192,0.03320410184069691,0
no_opt,g++,Ofast,128,256,4096,50,baum_welch,101320399711,0.43263627191594073,0
no_opt,g++,Ofast,128,256,4096,50,forward_vars,17387137296,0.5704309298967648,0
no_opt,g++,Ofast,128,256,4096,50,backward_vars,23748711767,0.416472826696377,0
no_opt,g++,Ofast,128,256,4096,50,update_initial,71430132,5.734274717565971e-05,0
no_opt,g++,Ofast,128,256,4096,50,update_transition,31122443134,0.7417621141310751,0
no_opt,g++,Ofast,128,256,4096,50,update_emission,28460030690,0.0330488987255551,0
no_opt,g++,Ofast,256,256,4096,50,baum_welch,409171689608,0.42353971687050873,0
no_opt,g++,Ofast,256,256,4096,50,forward_vars,118609627659,0.3335827267053878,0
no_opt,g++,Ofast,256,256,4096,50,backward_vars,108233184043,0.3650580236122639,0
no_opt,g++,Ofast,256,256,4096,50,update_initial,110399670,3.7101560176765023e-05,0
no_opt,g++,Ofast,256,256,4096,50,update_transition,123946555305,0.745013014978682,0
no_opt,g++,Ofast,256,256,4096,50,update_emission,57601182499,0.03265810287892368,0
no_opt,g++,Ofast,512,256,4096,50,baum_welch,1585664903212,0.4345964615222776,0
no_opt,g++,Ofast,512,256,4096,50,forward_vars,465911077529,0.3392322546144275,0
no_opt,g++,Ofast,512,256,4096,50,backward_vars,538862386116,0.29310416285392743,0
no_opt,g++,Ofast,512,256,4096,50,update_initial,149760930,2.7350257507081455e-05,0
