Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Variable
no_opt,g++,O2,2,64,4096,50,baum_welch,702332696,0.13025175179940648,19474,26234,0.7423191278493558,0
no_opt,g++,O2,2,64,4096,50,forward_vars,36407548,0.09450348043213457,1821,2661,0.6843291995490417,0
no_opt,g++,O2,2,64,4096,50,backward_vars,21676621,0.12962610731626484,1364,1767,0.7719298245614035,0
no_opt,g++,O2,2,64,4096,50,update_initial,5994111,0.0027333494491510084,517,612,0.8447712418300654,0
no_opt,g++,O2,2,64,4096,50,update_transition,44123386,0.12773489323779458,1011,1463,0.6910457963089542,0
no_opt,g++,O2,2,64,4096,50,update_emission,562197513,0.14154649595541702,7068,9814,0.720195638883228,0
no_opt,g++,O2,4,64,4096,50,baum_welch,368047837,0.5533555465508686,22623,26510,0.8533760844964164,0
no_opt,g++,O2,4,64,4096,50,forward_vars,24066551,0.4775663949520644,1947,2521,0.7723125743752479,0
no_opt,g++,O2,4,64,4096,50,backward_vars,20115489,0.5188344166030465,1691,2282,0.7410166520595969,0
no_opt,g++,O2,4,64,4096,50,update_initial,6398971,0.0051208233323764086,676,814,0.8304668304668305,0
no_opt,g++,O2,4,64,4096,50,update_transition,24010382,0.9389431621704311,1470,1903,0.7724645296899633,0
no_opt,g++,O2,4,64,4096,50,update_emission,260613848,0.6106896361086691,7758,9270,0.8368932038834952,0
no_opt,g++,O2,8,64,4096,50,baum_welch,721826724,0.6798608913792447,21192,26431,0.8017857818470735,0
no_opt,g++,O2,8,64,4096,50,forward_vars,58000233,0.724989087543838,2163,3034,0.7129202373104813,0
no_opt,g++,O2,8,64,4096,50,backward_vars,48242658,0.832060289878721,1489,1878,0.7928647497337593,0
no_opt,g++,O2,8,64,4096,50,update_initial,5986548,0.01094721031218659,374,435,0.8597701149425288,0
no_opt,g++,O2,8,64,4096,50,update_transition,73434379,1.2280016148839497,1437,2259,0.6361221779548473,0
no_opt,g++,O2,8,64,4096,50,update_emission,504337493,0.6311415598046762,7889,9585,0.8230568596765779,0
no_opt,g++,O2,16,64,4096,50,baum_welch,1658078649,0.7935537103704663,51478,77747,0.6621220111386934,0
no_opt,g++,O2,16,64,4096,50,forward_vars,186161511,0.8646503089459776,6493,11577,0.5608534162563704,0
no_opt,g++,O2,16,64,4096,50,backward_vars,168086855,0.9361346906038548,4907,6801,0.7215115424202323,0
no_opt,g++,O2,16,64,4096,50,update_initial,6134402,0.021366711865313033,1068,1504,0.7101063829787234,0
no_opt,g++,O2,16,64,4096,50,update_transition,271515095,1.3285086193826534,5739,8897,0.6450488928852423,0
no_opt,g++,O2,16,64,4096,50,update_emission,994207302,0.6403259186684187,16593,21823,0.7603445905695826,0
no_opt,g++,O2,32,64,4096,50,baum_welch,4721913498,0.8406183437458642,114747,343946,0.3336192309257849,0
no_opt,g++,O2,32,64,4096,50,forward_vars,831684101,0.7575060762163108,21824,71305,0.3060654933034149,0
no_opt,g++,O2,32,64,4096,50,backward_vars,709963042,0.8774896426228339,18730,52310,0.3580577327470847,0
no_opt,g++,O2,32,64,4096,50,update_initial,6559366,0.03996483806514227,1946,7663,0.25394754012788723,0
no_opt,g++,O2,32,64,4096,50,update_transition,1101650161,1.3097084964706867,22687,66014,0.34366952464628714,0
no_opt,g++,O2,32,64,4096,50,update_emission,2038515780,0.6245884483660951,29456,82912,0.3552682362022385,0
no_opt,g++,O2,64,64,4096,50,baum_welch,15003632825,0.8858108877374503,57736,3237120,0.01783560695927244,0
no_opt,g++,O2,64,64,4096,50,forward_vars,3449445672,0.7227051338236006,16786,637116,0.02634685049504329,0
no_opt,g++,O2,64,64,4096,50,backward_vars,3306710772,0.7497165548895487,12091,891156,0.013567770401590743,0
no_opt,g++,O2,64,64,4096,50,update_initial,7237579,0.07243969288625382,715,32475,0.02201693610469592,0
no_opt,g++,O2,64,64,4096,50,update_transition,4239657628,1.361280275530777,12142,679334,0.017873387759187676,0
no_opt,g++,O2,64,64,4096,50,update_emission,3965200515,0.6422037943269056,10632,489187,0.021734019914674756,0
no_opt,g++,O2,128,64,4096,50,baum_welch,54924834324,0.873708333045094,230304,3251604862,7.082779420447305e-05,0
no_opt,g++,O2,128,64,4096,50,forward_vars,15556375967,0.6375624320882679,80430,2370200757,3.3933834407259875e-05,0
no_opt,g++,O2,128,64,4096,50,backward_vars,14336924891,0.6898754924920392,43616,638695214,6.828922315989047e-05,0
no_opt,g++,O2,128,64,4096,50,update_initial,11171132,0.09386479364848611,2089,1592898,0.0013114461817391948,0
no_opt,g++,O2,128,64,4096,50,update_transition,17154745450,1.3457179696012336,56065,212894785,0.00026334604673383617,0
no_opt,g++,O2,128,64,4096,50,update_emission,7820848425,0.6511996340090174,35769,26555141,0.001346970818192982,0
no_opt,g++,O2,256,64,4096,50,baum_welch,244690998416,0.7421902633101723,325807,44122552830,7.384137569177001e-06,0
no_opt,g++,O2,256,64,4096,50,forward_vars,99956651005,0.3958328196291894,129352,31264998624,4.1372782885941125e-06,0
no_opt,g++,O2,256,64,4096,50,backward_vars,60295770618,0.6552929310137173,106990,8028166953,1.3326827982821099e-05,0
no_opt,g++,O2,256,64,4096,50,update_initial,19405274,0.10807123877766425,6432,5022033,0.0012807562196425232,0
no_opt,g++,O2,256,64,4096,50,update_transition,68568280133,1.3467130382282766,58501,3474612064,1.683669973005654e-05,0
no_opt,g++,O2,256,64,4096,50,update_emission,15798159729,0.6447502391878114,6568,1346793098,4.876769868923103e-06,0
no_opt,g++,O2,512,64,4096,50,baum_welch,1138118648483,0.6200917550069839,56364357,280376849517,0.0002010307095507273,0
no_opt,g++,O2,512,64,4096,50,forward_vars,384883662537,0.4106489328182539,17869628,96125366763,0.0001858991918757315,0
no_opt,g++,O2,512,64,4096,50,backward_vars,435505396642,0.3626655600454804,33785646,150980014315,0.00022377561794046912,0
no_opt,g++,O2,512,64,4096,50,update_initial,33320385,0.12587801731582635,190467,10614311,0.017944358329052165,0
no_opt,g++,O2,512,64,4096,50,update_transition,285952496293,1.291708211134235,3936671,29181973754,0.0001349007792682425,0
no_opt,g++,O2,512,64,4096,50,update_emission,31684841086,0.6429489254090431,429547,4075434731,0.00010539906251782884,0
no_opt,g++,O2,1024,64,4096,50,baum_welch,7173959577574,0.38773153275176897,157283616718,1369871607389,0.11481631991613098,0
no_opt,g++,O2,1024,64,4096,50,forward_vars,3503001656404,0.18035504518275242,137884003548,290997642369,0.4738320297906606,0
no_opt,g++,O2,1024,64,4096,50,backward_vars,2460200145244,0.2567131436964296,18777677726,946834924089,0.01983205017925062,0
no_opt,g++,O2,1024,64,4096,50,update_initial,122306285,0.06858689232527992,14272259,24035169,0.5938073079494469,0
no_opt,g++,O2,1024,64,4096,50,update_transition,1147094019023,1.2880101589949757,594360605,123212635841,0.004823860807320069,0
no_opt,g++,O2,1024,64,4096,50,update_emission,63439319143,0.6422431641197035,10275095,8798405961,0.0011678359745555733,0
no_opt,g++,O2,64,2,4096,50,baum_welch,20154886269,0.5376457618948224,1974,2270064,0.0008695790074641067,1
no_opt,g++,O2,64,2,4096,50,forward_vars,4690152807,0.5315247068878709,646,531886,0.0012145459741373151,1
no_opt,g++,O2,64,2,4096,50,backward_vars,5991470502,0.4137708442647691,243,670682,0.0003623177601307326,1
no_opt,g++,O2,64,2,4096,50,update_initial,7584902,0.06912258062134488,19,17715,0.001072537397685577,1
no_opt,g++,O2,64,2,4096,50,update_transition,9182966714,0.6284855955321281,465,752003,0.0006183485970135757,1
no_opt,g++,O2,64,2,4096,50,update_emission,245434327,0.37596488285846014,148,137431,0.0010769040463941906,1
no_opt,g++,O2,64,4,4096,50,baum_welch,12024689155,0.9077454336905892,12588,58612912,0.00021476496509847522,1
no_opt,g++,O2,64,4,4096,50,forward_vars,3646736874,0.6836062436458639,4028,53549094,7.52206937432032e-05,1
no_opt,g++,O2,64,4,4096,50,backward_vars,3410785258,0.7268401908872095,3203,211180,0.015167155980679988,1
no_opt,g++,O2,64,4,4096,50,update_initial,7228955,0.07252611200374051,157,239562,0.000655362703600738,1
no_opt,g++,O2,64,4,4096,50,update_transition,4592458874,1.2567041888331998,2502,1930990,0.001295708418997509,1
no_opt,g++,O2,64,4,4096,50,update_emission,333703760,0.5137556016749706,720,2020310,0.0003563809514381456,1
no_opt,g++,O2,64,8,4096,50,baum_welch,11417824216,0.9698600572674992,887,769164,0.0011532000977684863,1
no_opt,g++,O2,64,8,4096,50,forward_vars,3450228330,0.722541193672246,319,145994,0.002185021302245298,1
no_opt,g++,O2,64,8,4096,50,backward_vars,3208273163,0.7727196787950067,126,177072,0.0007115749525616698,1
no_opt,g++,O2,64,8,4096,50,update_initial,7224091,0.07257494403102065,12,27931,0.0004296301600372346,1
no_opt,g++,O2,64,8,4096,50,update_transition,4225468065,1.36585159684552,95,203286,0.0004673219011638775,1
no_opt,g++,O2,64,8,4096,50,update_emission,492761780,0.6692425536737041,81,87244,0.0009284306084086011,1
no_opt,g++,O2,64,16,4096,50,baum_welch,11914012770,0.956047456041127,82243,1402110,0.05865659613011818,1
no_opt,g++,O2,64,16,4096,50,forward_vars,3448945975,0.7228098422156352,24190,254153,0.09517888830743686,1
no_opt,g++,O2,64,16,4096,50,backward_vars,3208815262,0.7725891351111381,18478,355678,0.051951484207626,1
no_opt,g++,O2,64,16,4096,50,update_initial,7260230,0.07221369019989725,1795,21981,0.08166143487557435,1
no_opt,g++,O2,64,16,4096,50,update_transition,4222237685,1.3668965924167293,21726,293698,0.07397394602619017,1
no_opt,g++,O2,64,16,4096,50,update_emission,993255547,0.6508366411368252,7418,217298,0.03413745179431012,1
no_opt,g++,O2,64,32,4096,50,baum_welch,12896850849,0.932297476707835,14512,3365015,0.004312610790739417,1
no_opt,g++,O2,64,32,4096,50,forward_vars,3452438679,0.7220786023409049,3318,900370,0.0036851516598731633,1
no_opt,g++,O2,64,32,4096,50,backward_vars,3194546409,0.7760400039941946,2456,619831,0.00396237038805739,1
no_opt,g++,O2,64,32,4096,50,update_initial,7225724,0.07255854223050867,296,77637,0.0038126151190798203,1
no_opt,g++,O2,64,32,4096,50,update_transition,4226464107,1.3655297094422953,3562,838594,0.0042475858401085625,1
no_opt,g++,O2,64,32,4096,50,update_emission,1981762118,0.6457823551958722,2086,375125,0.005560813062312563,1
no_opt,g++,O2,64,64,4096,50,baum_welch,15004922826,0.8857347329351736,17728,30451453,0.0005821725485480119,1
no_opt,g++,O2,64,64,4096,50,forward_vars,3489006588,0.7145105728874593,4487,26356217,0.00017024446262526978,1
no_opt,g++,O2,64,64,4096,50,backward_vars,3303097402,0.7505366951937071,3451,721474,0.004783263152934132,1
no_opt,g++,O2,64,64,4096,50,update_initial,8041652,0.06519655414086559,223,323815,0.0006886648240507698,1
no_opt,g++,O2,64,64,4096,50,update_transition,4241079597,1.3608238591141915,3855,1898391,0.002030667022757693,1
no_opt,g++,O2,64,64,4096,50,update_emission,3925266874,0.6487372445596421,2417,561234,0.00430658156847233,1
no_opt,g++,O2,64,128,4096,50,baum_welch,18949900081,0.8350303094139043,693,27466753,2.523050321965614e-05,1
no_opt,g++,O2,64,128,4096,50,forward_vars,3460272828,0.7204437973293821,297,3555926,8.352254799453082e-05,1
no_opt,g++,O2,64,128,4096,50,backward_vars,3365840214,0.7365458995018116,49,18200724,2.692200595976292e-06,1
no_opt,g++,O2,64,128,4096,50,update_initial,7373250,0.0711067710982267,1,261974,3.817172696527136e-06,1
no_opt,g++,O2,64,128,4096,50,update_transition,4262288694,1.3540524160468799,72,3077665,2.3394359035177643e-05,1
no_opt,g++,O2,64,128,4096,50,update_emission,7813880395,0.6501029162476706,99,1757440,5.633193736343773e-05,1
no_opt,g++,O2,64,256,4096,50,baum_welch,27304290979,0.7650980637463561,895,420695851,2.1274276840918974e-06,1
no_opt,g++,O2,64,256,4096,50,forward_vars,3569012367,0.6984935437742629,562,37821388,1.4859317167312844e-05,1
no_opt,g++,O2,64,256,4096,50,backward_vars,3506675996,0.7069646043226857,44,141229466,3.1154971583621224e-07,1
no_opt,g++,O2,64,256,4096,50,update_initial,7462187,0.07025929529774583,4,343465,1.1646019245046803e-05,1
no_opt,g++,O2,64,256,4096,50,update_transition,4622970928,1.2484098199805942,13,166693200,7.798758437656725e-08,1
no_opt,g++,O2,64,256,4096,50,update_emission,15555186523,0.6522934102395527,75,73284622,1.0234070662191586e-06,1
no_opt,g++,O2,64,512,4096,50,baum_welch,45698786726,0.6788779494303111,68004,2051852271,3.3142736911979174e-05,1
no_opt,g++,O2,64,512,4096,50,forward_vars,3817711774,0.6529911747077846,17836,62405173,0.0002858096395310049,1
no_opt,g++,O2,64,512,4096,50,backward_vars,4931887951,0.5026666932887908,5828,820458165,7.103348164010288e-06,1
no_opt,g++,O2,64,512,4096,50,update_initial,9130183,0.0574236025718214,294,805675,0.0003649114096875291,1
no_opt,g++,O2,64,512,4096,50,update_transition,5695643288,1.0132941991222537,11492,806805100,1.4243836584572903e-05,1
no_opt,g++,O2,64,512,4096,50,update_emission,31196425251,0.6500739736951088,28429,359401145,7.910102790574026e-05,1
no_opt,g++,O2,64,1024,4096,50,baum_welch,77624553270,0.6607545343751774,27840,2907182977,9.576280619505017e-06,1
no_opt,g++,O2,64,1024,4096,50,forward_vars,3884959272,0.6416880902632022,6473,69959758,9.252461965348707e-05,1
no_opt,g++,O2,64,1024,4096,50,backward_vars,4894421641,0.5065145567420885,827,702054850,1.1779706386189056e-06,1
no_opt,g++,O2,64,1024,4096,50,update_initial,8661479,0.0605310016915125,32,629786,5.0810910372729787e-05,1
no_opt,g++,O2,64,1024,4096,50,update_transition,6523464866,0.8847081148670051,3424,1465097577,2.337045705181724e-06,1
no_opt,g++,O2,64,1024,4096,50,update_emission,62264814662,0.6512002208005544,14799,667284814,2.2177936151863333e-05,1
no_opt,g++,O2,64,64,256,50,baum_welch,969548857,0.8567374671248774,540,4270766,0.00012644101784082762,2
no_opt,g++,O2,64,64,256,50,forward_vars,223477884,0.6971976520056902,322,1433854,0.00022456958658273435,2
no_opt,g++,O2,64,64,256,50,backward_vars,212882598,0.7278353865260513,47,136455,0.0003444358946172731,2
no_opt,g++,O2,64,64,256,50,update_initial,468612,0.06992565277884476,0,27416,0.0,2
no_opt,g++,O2,64,64,256,50,update_transition,279104037,1.2923859786377794,7,189398,3.695920759458917e-05,2
no_opt,g++,O2,64,64,256,50,update_emission,251456741,0.632928651532949,15,2464357,6.086780446177238e-06,2
no_opt,g++,O2,64,64,512,50,baum_welch,1899195361,0.8747376379043293,482,4105635,0.00011739962271366062,2
no_opt,g++,O2,64,64,512,50,forward_vars,435602982,0.7153681789992888,236,366002,0.0006448052196436085,2
no_opt,g++,O2,64,64,512,50,backward_vars,418281493,0.7408574875675888,52,176929,0.00029390320411012326,2
no_opt,g++,O2,64,64,512,50,update_initial,943603,0.06945293730520144,15,30092,0.0004984713545128273,2
no_opt,g++,O2,64,64,512,50,update_transition,543286324,1.3278822899285792,14,377900,3.704683778777454e-05,2
no_opt,g++,O2,64,64,512,50,update_emission,496663950,0.640892804883463,13,3139755,4.1404504491592495e-06,2
no_opt,g++,O2,64,64,1024,50,baum_welch,3768886646,0.8815853699198785,638,891597,0.0007155699267718487,2
no_opt,g++,O2,64,64,1024,50,forward_vars,866182148,0.7195172810234367,276,252011,0.0010951902893127682,2
no_opt,g++,O2,64,64,1024,50,backward_vars,831679025,0.7452081071781268,85,158911,0.0005348905991403993,2
no_opt,g++,O2,64,64,1024,50,update_initial,1817267,0.07212589014162475,8,22864,0.0003498950314905528,2
no_opt,g++,O2,64,64,1024,50,update_transition,1073257425,1.3443564818570903,52,211300,0.00024609559867486987,2
no_opt,g++,O2,64,64,1024,50,update_emission,986208844,0.6455191594286697,49,199575,0.00024552173368407867,2
no_opt,g++,O2,64,64,2048,50,baum_welch,7566327546,0.878258390956526,57946,48802131,0.0011873661828414829,2
no_opt,g++,O2,64,64,2048,50,forward_vars,1741302672,0.7158238875085123,15006,3323541,0.004515063903228514,2
no_opt,g++,O2,64,64,2048,50,backward_vars,1660876867,0.7463213731424679,13483,3639561,0.0037045676662652446,2
no_opt,g++,O2,64,64,2048,50,update_initial,3831093,0.06842538147729643,873,195086,0.004474949509447115,2
no_opt,g++,O2,64,64,2048,50,update_transition,2157878490,1.337276943707799,13634,11506068,0.0011849399812342495,2
no_opt,g++,O2,64,64,2048,50,update_emission,1983054308,0.6420567519828105,8962,30028541,0.00029844939852389097,2
no_opt,g++,O2,64,64,4096,50,baum_welch,14966081728,0.8880334581585949,718,17560040,4.088828954831538e-05,2
no_opt,g++,O2,64,64,4096,50,forward_vars,3464364889,0.7195928188498623,294,6666892,4.40985094703799e-05,2
no_opt,g++,O2,64,64,4096,50,backward_vars,3301700134,0.7508543197097014,86,2920976,2.9442213835375575e-05,2
no_opt,g++,O2,64,64,4096,50,update_initial,7341577,0.07141353962506966,4,244334,1.6371033094043398e-05,2
no_opt,g++,O2,64,64,4096,50,update_transition,4244293998,1.3597932439928964,81,2590062,3.1273382644894215e-05,2
no_opt,g++,O2,64,64,4096,50,update_emission,3912221316,0.6509005013559923,54,3980095,1.3567515348251738e-05,2
no_opt,g++,O2,64,64,8192,50,baum_welch,30037393483,0.884922409763806,1925,354476990,5.43053584380752e-06,2
no_opt,g++,O2,64,64,8192,50,forward_vars,6888485719,0.7237968394487427,564,3432649,0.00016430459391566105,2
no_opt,g++,O2,64,64,8192,50,backward_vars,6596688612,0.7516182599525133,266,17631070,1.5087002660643966e-05,2
no_opt,g++,O2,64,64,8192,50,update_initial,15299912,0.06853477327189855,24,645194,3.719811405561738e-05,2
no_opt,g++,O2,64,64,8192,50,update_transition,8509863601,1.356393609721736,315,49644069,6.3451688458494404e-06,2
no_opt,g++,O2,64,64,8192,50,update_emission,7955609812,0.6401688559836072,150,282762102,5.304812736184851e-07,2
no_opt,g++,O2,64,64,16384,50,baum_welch,59806653775,0.8888898122941338,73495,26961709,0.002725902872106512,2
no_opt,g++,O2,64,64,16384,50,forward_vars,13771275218,0.7240962239260361,21041,6160713,0.003415351437406677,2
no_opt,g++,O2,64,64,16384,50,backward_vars,13230840467,0.7494900461337412,16924,6484467,0.0026099292355100273,2
no_opt,g++,O2,64,64,16384,50,update_initial,28935679,0.07247633622145172,1184,717287,0.0016506642390005674,2
no_opt,g++,O2,64,64,16384,50,update_transition,16971638633,1.3602369055344004,13064,6171020,0.002116992004563265,2
no_opt,g++,O2,64,64,16384,50,update_emission,15661936083,0.6503581172864119,13633,5616143,0.002427466679534335,2
