Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Variable
no_opt,g++,O3 march=skylake,2,64,4096,50,baum_welch,527468876,0.17343215526521416,3234,12043,0.26853773976583906,0
no_opt,g++,O3 march=skylake,2,64,4096,50,forward_vars,28593344,0.12033010199856302,455,1624,0.2801724137931034,0
no_opt,g++,O3 march=skylake,2,64,4096,50,backward_vars,16740625,0.16784654097442597,215,675,0.31851851851851853,0
no_opt,g++,O3 march=skylake,2,64,4096,50,update_initial,5950881,0.0027532057858323834,150,332,0.45180722891566266,0
no_opt,g++,O3 march=skylake,2,64,4096,50,update_transition,33186220,0.16983241839534602,163,632,0.2579113924050633,0
no_opt,g++,O3 march=skylake,2,64,4096,50,update_emission,412182571,0.1930627192870802,883,4551,0.1940232915842672,0
no_opt,g++,O3 march=skylake,4,64,4096,50,baum_welch,500581873,0.4067836951019599,6953,13745,0.5058566751546016,0
no_opt,g++,O3 march=skylake,4,64,4096,50,forward_vars,27558998,0.41704622207236997,702,1693,0.4146485528647372,0
no_opt,g++,O3 march=skylake,4,64,4096,50,backward_vars,23398920,0.4460294748646519,680,1803,0.3771491957848031,0
no_opt,g++,O3 march=skylake,4,64,4096,50,update_initial,5883473,0.0,243,358,0.6787709497206704,0
no_opt,g++,O3 march=skylake,4,64,4096,50,update_transition,40484186,0.556868896907054,545,1104,0.4936594202898551,0
no_opt,g++,O3 march=skylake,4,64,4096,50,update_emission,372737784,0.42698696733143643,2262,4566,0.49540078843626806,0
no_opt,g++,O3 march=skylake,8,64,4096,50,baum_welch,934308460,0.5251758332574662,8932,17087,0.5227365833674723,0
no_opt,g++,O3 march=skylake,8,64,4096,50,forward_vars,56243291,0.7476364781001169,1082,1988,0.5442655935613682,0
no_opt,g++,O3 march=skylake,8,64,4096,50,backward_vars,59217443,0.677854327482529,782,1337,0.5848915482423336,0
no_opt,g++,O3 march=skylake,8,64,4096,50,update_initial,7049301,0.0,237,370,0.6405405405405405,0
no_opt,g++,O3 march=skylake,8,64,4096,50,update_transition,103185915,0.8739326098915728,476,1288,0.3695652173913043,0
no_opt,g++,O3 march=skylake,8,64,4096,50,update_emission,671609101,0.47394883649737796,3064,5917,0.5178299814094981,0
no_opt,g++,O3 march=skylake,16,64,4096,50,baum_welch,1768737254,0.743832012937293,21852,57605,0.37934207100078116,0
