Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Variable
no_opt,icc,O3,2,64,4096,50,baum_welch,161516927,0.07554616860683587,3481,7408,0.46989740820734344,0
no_opt,icc,O3,2,64,4096,50,forward_vars,19265609,0.17880234151954397,719,1460,0.49246575342465754,0
no_opt,icc,O3,2,64,4096,50,backward_vars,15308454,0.1835492989690533,311,806,0.3858560794044665,0
no_opt,icc,O3,2,64,4096,50,update_initial,6052309,0.0027070660139791275,233,358,0.6508379888268156,0
no_opt,icc,O3,2,64,4096,50,update_transition,10471116,0.015646851777785672,282,683,0.4128843338213763,0
no_opt,icc,O3,2,64,4096,50,update_emission,79943826,0.07214025508361334,580,1533,0.37834311806914545,0
no_opt,icc,O3,4,64,4096,50,baum_welch,291756729,0.11707200419017585,5047,24441,0.20649727916206376,0
no_opt,icc,O3,4,64,4096,50,forward_vars,37681726,0.3051206306207948,857,4360,0.19655963302752294,0
no_opt,icc,O3,4,64,4096,50,backward_vars,42814972,0.243760710622443,554,3590,0.1543175487465181,0
no_opt,icc,O3,4,64,4096,50,update_initial,6077291,0.005391876084261886,220,751,0.2929427430093209,0
no_opt,icc,O3,4,64,4096,50,update_transition,23226106,0.02821652497409596,501,2471,0.2027519222986645,0
no_opt,icc,O3,4,64,4096,50,update_emission,150725996,0.07652519343776637,1098,6626,0.16571083610021128,0
no_opt,icc,O3,8,64,4096,50,baum_welch,594632672,0.17917810106471915,5573,13705,0.40663991244071507,0
no_opt,icc,O3,8,64,4096,50,forward_vars,89700939,0.45315806560285843,1245,3173,0.3923731484399622,0
no_opt,icc,O3,8,64,4096,50,backward_vars,92960337,0.431805663527231,622,1717,0.36225975538730343,0
no_opt,icc,O3,8,64,4096,50,update_initial,6415754,0.010214855494771153,202,536,0.376865671641791,0
no_opt,icc,O3,8,64,4096,50,update_transition,74004922,0.03542250878934782,526,1226,0.4290375203915171,0
no_opt,icc,O3,8,64,4096,50,update_emission,299829723,0.07693924327842573,1125,2680,0.4197761194029851,0
no_opt,icc,O3,16,64,4096,50,baum_welch,1454818052,0.25566741386571684,18428,43175,0.4268210770121598,0
no_opt,icc,O3,16,64,4096,50,forward_vars,263505215,0.5994497831855055,3400,7860,0.43256997455470736,0
no_opt,icc,O3,16,64,4096,50,backward_vars,293346675,0.5364026573677714,2160,6354,0.33994334277620397,0
no_opt,icc,O3,16,64,4096,50,update_initial,6315372,0.0025943048168817293,590,1551,0.3803997421018698,0
no_opt,icc,O3,16,64,4096,50,update_transition,277249029,0.03782072758855361,2980,7418,0.40172553248854137,0
no_opt,icc,O3,16,64,4096,50,update_emission,582567539,0.07919655818653501,4257,10421,0.40850206314173304,0
no_opt,icc,O3,32,64,4096,50,baum_welch,4245307532,0.3253020777859633,48010,2490581,0.019276626618447663,0
no_opt,icc,O3,32,64,4096,50,forward_vars,939835673,0.6637203182646164,10096,510310,0.01978405283063236,0
no_opt,icc,O3,32,64,4096,50,backward_vars,1025601857,0.607433783146904,7616,618076,0.012322109255172502,0
no_opt,icc,O3,32,64,4096,50,update_initial,6829946,0.0023988476629244215,1518,62758,0.024188151311386595,0
no_opt,icc,O3,32,64,4096,50,update_transition,1089237625,0.0385067858815472,8845,984625,0.00898311539926368,0
no_opt,icc,O3,32,64,4096,50,update_emission,1150794658,0.08018345180743791,9087,225409,0.04031338588964948,0
no_opt,icc,O3,64,64,4096,50,baum_welch,15071801447,0.3524280483443659,22129,60664377,0.00036477750360808947,0
no_opt,icc,O3,64,64,4096,50,forward_vars,4079157207,0.6080402676669873,5305,3587646,0.0014786854667377996,0
no_opt,icc,O3,64,64,4096,50,backward_vars,4323389756,0.5734148313969406,5837,44046589,0.00013251877460931198,0
