Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Variable
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,baum_welch,159000385,0.5829959279658348,2134,4687,0.45530189886921274,0
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,forward_vars,19090801,0.18086868120410454,415,786,0.5279898218829516,0
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,backward_vars,15896649,0.17675775567542568,187,386,0.4844559585492228,0
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,update_initial,6042796,0.0027113276701712253,111,232,0.47844827586206895,0
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,update_transition,10471494,0.49207572482016415,280,546,0.5128205128205128,0
no_opt,icc,O3 axCORE-AVX2,2,64,4096,50,update_emission,77312415,1.051120185548466,395,966,0.40890269151138714,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,baum_welch,285836909,0.7187709443079655,2030,6740,0.30118694362017806,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,forward_vars,39450902,0.29185279464586134,328,1072,0.30597014925373134,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,backward_vars,35365101,0.29511036883508407,176,828,0.21256038647342995,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,update_initial,6128132,0.005347143305659865,168,317,0.5299684542586751,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,update_transition,24883350,0.8414764089240395,224,696,0.3218390804597701,0
no_opt,icc,O3 axCORE-AVX2,4,64,4096,50,update_emission,148820496,1.092116236462483,391,1317,0.2968868640850418,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,baum_welch,598913860,0.8176490973176009,4907,14481,0.3388578136869001,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,forward_vars,97713415,0.4163345636829907,859,2442,0.35176085176085176,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,backward_vars,91446331,0.4389547351003071,559,2367,0.23616392057456695,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,update_initial,6244102,0.010495664548721338,191,510,0.37450980392156863,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,update_transition,81216255,1.0312591734253198,572,1803,0.317249029395452,0
no_opt,icc,O3 axCORE-AVX2,8,64,4096,50,update_emission,291487115,1.1151729982987413,893,3140,0.2843949044585987,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,baum_welch,1494958999,0.870019740922674,4535,27241,0.16647700157850298,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,forward_vars,283832545,0.556749684924257,743,6625,0.11215094339622642,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,backward_vars,281103696,0.5597647353594383,449,3943,0.11387268577225462,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,update_initial,7480827,0.017521057498054694,234,780,0.3,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,update_transition,307047727,1.0911008372323825,866,4313,0.20078831439833064,0
no_opt,icc,O3 axCORE-AVX2,16,64,4096,50,update_emission,578673925,1.1234601939252749,968,5097,0.18991563664900923,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,baum_welch,4346161743,0.8944629912269696,29149,239778,0.12156661578626897,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,forward_vars,962052509,0.6485291584016856,4951,51066,0.09695296283241296,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,backward_vars,989646526,0.6295027564215387,5021,56095,0.08950886888314466,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,update_initial,6771767,0.03871131419613227,1052,5786,0.18181818181818182,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,update_transition,1206136221,1.1110520558689034,6279,41984,0.14955697408536586,0
no_opt,icc,O3 axCORE-AVX2,32,64,4096,50,update_emission,1149042354,1.1315807772217246,4882,35048,0.13929468157954805,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,baum_welch,14872761609,0.8687669050770704,13231,5389491,0.002454962815597985,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,forward_vars,3842126024,0.6456201510583246,3184,1430288,0.002226125088094146,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,backward_vars,3894680305,0.6365338394572029,2831,1216800,0.002326594345825115,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,update_initial,7598046,0.06900300419344658,373,267431,0.0013947522912452185,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,update_transition,4798732920,1.117028307547485,2693,1209296,0.002226915494634895,0
no_opt,icc,O3 axCORE-AVX2,64,64,4096,50,update_emission,2293199545,1.133991364017997,2093,603596,0.003467551143480076,0
no_opt,icc,O3 axCORE-AVX2,128,64,4096,50,baum_welch,54396755169,0.847322898467058,97862,1658941928,5.8990612237995106e-05,0
no_opt,icc,O3 axCORE-AVX2,128,64,4096,50,forward_vars,16102125996,0.6144033324827798,38021,466757767,8.145766966958688e-05,0
no_opt,icc,O3 axCORE-AVX2,128,64,4096,50,backward_vars,15848329369,0.6240842734721688,15929,446274195,3.569330285834699e-05,0
